[DEBUG] 2020-05-12 08:58:56.171 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-12 08:58:56.193 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-12 08:58:56.216 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-12 08:58:56.370 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-12 08:58:56.374 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-12 08:58:56.755 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-12 08:58:57.135 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-12 08:58:57.169 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-12 08:58:57.171 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-12 08:58:57.214 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-12 08:58:57.324 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@34acbc60
[DEBUG] 2020-05-12 08:58:57.324 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@34acbc60
[DEBUG] 2020-05-12 08:58:57.324 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@34acbc60
[DEBUG] 2020-05-12 08:58:57.325 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@20134094
[DEBUG] 2020-05-12 08:58:57.325 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@56380231
[DEBUG] 2020-05-12 08:58:57.327 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3e104d4b
[DEBUG] 2020-05-12 08:58:57.328 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2b8bd798
[DEBUG] 2020-05-12 08:58:57.328 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2b8bd798
[DEBUG] 2020-05-12 08:58:57.328 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2b8bd798
[DEBUG] 2020-05-12 08:58:57.329 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3e7c4815
[DEBUG] 2020-05-12 08:58:57.330 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3e7c4815
[DEBUG] 2020-05-12 08:58:57.330 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3e7c4815
[DEBUG] 2020-05-12 08:58:57.331 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@aa4d8cc
[DEBUG] 2020-05-12 08:58:57.332 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@aa4d8cc
[DEBUG] 2020-05-12 08:58:57.332 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@aa4d8cc
[DEBUG] 2020-05-12 08:58:57.333 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3c0bbc9f
[DEBUG] 2020-05-12 08:58:57.333 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3c0bbc9f
[DEBUG] 2020-05-12 08:58:57.333 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3c0bbc9f
[DEBUG] 2020-05-12 08:58:57.334 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@608bc8f8
[DEBUG] 2020-05-12 08:58:57.334 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@608bc8f8
[DEBUG] 2020-05-12 08:58:57.334 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@608bc8f8
[DEBUG] 2020-05-12 08:58:57.335 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@13fed1ec
[DEBUG] 2020-05-12 08:58:57.335 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@13fed1ec
[DEBUG] 2020-05-12 08:58:57.335 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@13fed1ec
[DEBUG] 2020-05-12 08:58:57.337 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7569ea63
[DEBUG] 2020-05-12 08:58:57.337 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7569ea63
[DEBUG] 2020-05-12 08:58:57.337 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@7569ea63
[DEBUG] 2020-05-12 08:58:57.338 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3a175162
[DEBUG] 2020-05-12 08:58:57.338 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3a175162
[DEBUG] 2020-05-12 08:58:57.339 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@688d411b
[DEBUG] 2020-05-12 08:58:57.339 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@688d411b
[DEBUG] 2020-05-12 08:58:57.340 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@295bf2a
[DEBUG] 2020-05-12 08:58:57.340 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@295bf2a
[DEBUG] 2020-05-12 08:58:57.340 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@4eb1c69
[DEBUG] 2020-05-12 08:58:57.341 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@18460128
[DEBUG] 2020-05-12 08:58:57.342 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@43a0a32d
[DEBUG] 2020-05-12 08:58:57.342 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@43a0a32d
[DEBUG] 2020-05-12 08:58:57.342 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@1866da85
[DEBUG] 2020-05-12 08:58:57.343 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1866da85
[DEBUG] 2020-05-12 08:58:57.347 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@3b1ed14b
[DEBUG] 2020-05-12 08:58:57.347 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@3b1ed14b
[DEBUG] 2020-05-12 08:58:57.349 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@687e4c93
[DEBUG] 2020-05-12 08:58:57.349 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@687e4c93
[DEBUG] 2020-05-12 08:58:57.350 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@1b5c3e5f
[DEBUG] 2020-05-12 08:58:57.350 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@1b5c3e5f
[DEBUG] 2020-05-12 08:58:57.351 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5aaaa446
[DEBUG] 2020-05-12 08:58:57.351 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5aaaa446
[DEBUG] 2020-05-12 08:58:57.353 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1702830d
[DEBUG] 2020-05-12 08:58:57.353 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1702830d
[DEBUG] 2020-05-12 08:58:57.354 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3f702946
[DEBUG] 2020-05-12 08:58:57.354 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3f702946
[DEBUG] 2020-05-12 08:58:57.355 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@2620e717
[DEBUG] 2020-05-12 08:58:57.355 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@2620e717
[DEBUG] 2020-05-12 08:58:57.356 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@468dda3e
[DEBUG] 2020-05-12 08:58:57.356 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@468dda3e
[DEBUG] 2020-05-12 08:58:57.357 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@1c9e07c6
[DEBUG] 2020-05-12 08:58:57.357 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@1c9e07c6
[DEBUG] 2020-05-12 08:58:57.358 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@636bbbbb
[DEBUG] 2020-05-12 08:58:57.358 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@636bbbbb
[DEBUG] 2020-05-12 08:58:57.358 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@636bbbbb
[DEBUG] 2020-05-12 08:58:57.359 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@716e431d
[DEBUG] 2020-05-12 08:58:57.360 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@49ec6a9f
[DEBUG] 2020-05-12 08:58:57.360 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@49ec6a9f
[DEBUG] 2020-05-12 08:58:57.360 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@49ec6a9f
[DEBUG] 2020-05-12 08:58:57.360 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@56afdf9a
[DEBUG] 2020-05-12 08:58:57.361 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@17c2d509
[DEBUG] 2020-05-12 08:58:57.361 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@17c2d509
[DEBUG] 2020-05-12 08:58:57.362 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@34d4860f
